Threshold,Accuracy,Precision,Recall,F1 Score
0.3,0.9638358390898009,0.9130434782608695,0.9247706422018349,0.918869644484959
0.35,0.9638358390898009,0.9334600760456274,0.9009174311926605,0.9169000933706816
0.4,0.9618041446566437,0.9412915851272016,0.8825688073394495,0.9109848484848485
0.45,0.9613978057700122,0.9536290322580645,0.8678899082568807,0.9087415946205571
0.5,0.9597724502234863,0.9665271966527197,0.8477064220183487,0.9032258064516129
0.55,0.9565217391304348,0.9699570815450643,0.8293577981651377,0.8941641938674579
0.6,0.9544900446972775,0.9758241758241758,0.8146788990825689,0.888
0.65,0.9508329947175945,0.9862385321100917,0.7889908256880734,0.8766564729867482
0.7,0.9431125558715969,0.9927007299270073,0.7486238532110092,0.8535564853556485
0.75,0.9394555058919138,0.9925373134328358,0.7321100917431193,0.8426610348468849
0.8,0.9345794392523364,0.9948453608247423,0.708256880733945,0.827438370846731
