Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.9699309223892727,0.9776876267748479,0.8844036697247707,0.928709055876686,0.9926126678286185
Random Forest,0.9593661113368549,0.9664570230607966,0.8458715596330275,0.9021526418786693,0.9883985175537723
Decision Tree,0.9370174725721252,0.8721374045801527,0.8385321100917431,0.8550046772684752,0.9017817126659133
SVM,0.7834213734254368,1.0,0.022018348623853212,0.04308797127468582,0.8737765988010189
Logistic Regression,0.778138967899228,0.3333333333333333,0.001834862385321101,0.0036496350364963502,0.7468732642546589
